fact_id,geo_id,date_id,sales_amount
753,42,16,2092595.00
754,42,1,1993077.00
755,42,8,1993077.00
756,42,15,1993077.00
757,43,6,NULL
758,43,13,NULL
759,43,20,NULL
760,43,5,26369931.00
761,43,12,26369931.00
762,43,19,26369931.00
763,43,4,24711988.00
764,43,11,24711988.00
765,43,18,24711988.00
766,43,3,21487283.00
767,43,10,21487283.00
768,43,17,21487283.00
769,43,2,21389414.00
770,43,9,21389414.00
771,43,16,21389414.00
772,43,1,21012473.00
773,43,8,21012473.00
774,43,15,21012473.00
775,44,6,NULL
776,44,13,NULL
777,44,20,NULL
778,44,5,687688.00
779,44,12,687688.00
780,44,19,687688.00
781,44,4,648029.00
782,44,11,648029.00
783,44,18,648029.00
784,44,3,576236.00
785,44,10,576236.00
786,44,17,576236.00
787,44,2,560877.00
788,44,9,560877.00
789,44,16,560877.00
790,44,1,539665.00
791,44,8,539665.00
792,44,15,539665.00
793,45,6,34591186.00
794,45,13,34591186.00
795,45,20,34591186.00
796,45,5,31461381.00
797,45,12,31461381.00
798,45,19,31461381.00
799,45,4,30377086.00
800,45,11,30377086.00
801,45,18,30377086.00
802,45,3,26585907.00
803,45,10,26585907.00
804,45,17,26585907.00
805,45,2,26162515.00
806,45,9,26162515.00
807,45,16,26162515.00
808,45,1,NULL
809,45,8,NULL
810,45,15,NULL
811,46,6,267428.00
812,46,13,267428.00
813,46,20,267428.00
814,46,5,245031.00
815,46,12,245031.00
816,46,19,245031.00
817,46,4,237057.00
818,46,11,237057.00
819,46,18,237057.00
820,46,3,212916.00
821,46,10,212916.00
822,46,17,212916.00
823,46,2,232990.00
824,46,9,232990.00
825,46,16,232990.00
826,46,1,NULL
827,46,8,NULL
828,46,15,NULL
829,47,6,41335331.00
830,47,13,41335331.00
831,47,20,41335331.00
832,47,5,37986236.00
833,47,12,37986236.00
834,47,19,37986236.00
835,47,4,35468387.00
836,47,11,35468387.00
837,47,18,35468387.00
838,47,3,30036355.00
839,47,10,30036355.00
840,47,17,30036355.00
841,47,2,29226342.00
842,47,9,29226342.00
843,47,16,29226342.00
844,47,1,28647184.00
845,47,8,28647184.00
846,47,15,28647184.00
847,48,6,6818001.00
848,48,13,6818001.00
849,48,20,6818001.00
850,48,5,6231778.00
851,48,12,6231778.00
852,48,19,6231778.00
853,48,4,5880526.00
854,48,11,5880526.00
855,48,18,5880526.00
856,48,3,5069903.00
857,48,10,5069903.00
858,48,17,5069903.00
859,48,2,4905579.00
860,48,9,4905579.00
861,48,16,4905579.00
862,48,1,4800740.00
863,48,8,4800740.00
864,48,15,4800740.00
865,49,6,23284529.00
866,49,13,23284529.00
867,49,20,23284529.00
868,49,5,21436326.00
869,49,12,21436326.00
870,49,19,21436326.00
871,49,4,20244860.00
872,49,11,20244860.00
873,49,18,20244860.00
874,49,3,18374690.00
875,49,10,18374690.00
876,49,17,18374690.00
877,49,2,17987037.00
878,49,9,17987037.00
879,49,16,17987037.00
880,49,1,17777088.00
881,49,8,17777088.00
882,49,15,17777088.00
883,50,6,5130972.00
884,50,13,5130972.00
885,50,20,5130972.00
886,50,5,4713379.00
887,50,12,4713379.00
888,50,19,4713379.00
889,50,4,4481867.00
890,50,11,4481867.00
891,50,18,4481867.00
892,50,3,4140076.00
893,50,10,4140076.00
894,50,17,4140076.00
895,50,2,3932452.00
896,50,9,3932452.00
897,50,16,3932452.00
898,50,1,3714048.00
899,50,8,3714048.00
900,50,15,3714048.00
901,51,6,7243060.00
902,51,13,7243060.00
903,51,20,7243060.00
904,51,5,6635198.00
905,51,12,6635198.00
906,51,19,6635198.00
907,51,4,6360871.00
908,51,11,6360871.00
909,51,18,6360871.00
910,51,3,NULL
911,51,10,NULL
912,51,17,NULL
913,51,2,NULL
914,51,9,NULL
915,51,16,NULL
916,51,1,4997154.00
917,51,8,4997154.00
918,51,15,4997154.00
919,52,6,6196818.00
920,52,13,6196818.00
921,52,20,6196818.00
922,52,5,5678744.00
923,52,12,5678744.00
924,52,19,5678744.00
925,52,4,5536148.00
926,52,11,5536148.00
927,52,18,5536148.00
928,52,3,NULL
929,52,10,NULL
930,52,17,NULL
931,52,2,NULL
932,52,9,NULL
933,52,16,NULL
934,52,1,4414050.00
935,52,8,4414050.00
936,52,15,4414050.00
937,53,6,23876710.00
938,53,13,23876710.00
939,53,20,23876710.00
940,53,5,21652909.00
941,53,12,21652909.00
942,53,19,21652909.00
943,53,4,20671501.00
944,53,11,20671501.00
945,53,18,20671501.00
946,53,3,18159134.00
947,53,10,18159134.00
